Unicode码,显示图像,定义,注释
\u2026,…,水平省略号,半角省略号
\u203B,※,参考标志,注释符号
\u3000,"　",象形字间隔,全角空格
\u3001,、,象形字逗号,全角顿号
\u3002,。,象形字句号,全角句号
\u3005,々,象形字重复标志,汉字同异体字
\u30FB,・,片假名中间点,全角点号
\uFF01,！,全形叹号,全角感叹号
\uFF0C,，,全形逗号,全角逗号
\uFF0F,／,全形斜线号,全角斜线
\uFF1A,：,全形冒号,全角冒号
\uFF1B,；,全形引号,全角引号
\uFF1F,？,全形问号,全角问号
\uFF5C,｜,全形竖线,全角竖线
---,---,---,---
\u002D,-,连字符-负号,半角减号
\u005F,_,下横线,半角下划线
\u02C9,ˉ,修饰字母长音符,上划线样字符
\u2010,‐,连字符,半角连字符
\u2011,‑,无间断连字符,半角连字符
\u2012,‒,数字长划,半角长划
\u2013,–,En长划,半角长划
\u2014,—,Em长划,半角长划
\u2015,―,水平条,减号样符号
\u203E,‾,上横线,半角上划线
\u207B,⁻,上标负号,减号样符号
\u208B,₋,下标负号,减号样符号
\u2212,−,负号,半角负号
\u30FC,ー,片假名-平假名长音标志,全角语气加长符
\u31D0,㇐,中日韩笔画H,全角长划
\uFF0D,－,全形连字符-负号,全角减号
\uFF3F,＿,全形下横线,全角下划线
\uFFE3,￣,全形长音符,全角长音符
---,---,---,---
\u007E,~,颚化符,半角波浪线
\u2053,⁓,代字号,粗胖的波浪线
\u223C,∼,颚化符运算符,显瘦的波浪线
\u223D,∽,横翻颚化符,水平翻转的波浪线
\u223E,∾,竖翻躺倒S,别致挂钩样符号
\u223F,∿,正弦波形,正弦曲线样符号
\u301C,〜,波形长划,全角语气加强符
\u3030,〰,波形长划,全角语气加强符
\uFF5E,～,全形颚化符,全角波浪线
---,---,---,---
\u3008,〈,左尖括号,全角尖括号
\u3009,〉,右尖括号,全角尖括号
\u300A,《,左双尖括号,全角双尖括号
\u300B,》,右尖尖括号,全角双尖括号
\u300C,「,左角括号,全角引号
\u300D,」,右角括号,全角引号
\u300E,『,左空心角括号,全角书名号
\u300F,』,右空心角括号,全角书名号
\u3010,【,左实心凹形括号,全角凹引号
\u3011,】,右实心凹形括号,全角凹引号
\u3014,〔,左龟壳形括号,全角六角引号
\u3015,〕,右龟壳形括号,全角六角引号
\u3016,〖,左空心凹形括号,全角空心凹引号
\u3017,〗,右空心凹形括号,全角空心凹引号
\u3018,〘,左空心龟壳形括号,全角空心六角引号
\u3019,〙,右空心龟壳形括号,全角空心六角引号
\u3020,〚,左空心方括号,全角空心方引号
\u3021,〛,右空心方括号,全角空心方引号
\uFF08,（,全形左圆括号,全角括号
\uFF09,）,全形右圆括号,全角括号
\uFF3B,［,全形左方括号,全角左方括号
\uFF3D,］,全形右方括号,全角右方括号
\uFF5B,｛,全形左花括号,全角左花括号
\uFF5D,｝,全形右花括号,全角右花括号
---,---,---,---
\u0031,1,数字一,范围数字零到九
\u2460,①,带圆圈数字一,范围数字一到二十
\u2474,⑴,带圆括号数字一,范围数字一到二十
\u2488,⒈,数字一句号,范围数字一到二十
\u24EA,⓪,带圆圈数字零,范围仅数字零
\u24EB,⓫,反白带圆圈数字十一,范围范围数字十一到二十
\u24F5,⓵,双带圆圈数字一,范围数字一到十
\u24FF,⓿,反白带圆圈数字零,范围仅数字零
\u2776,❶,丁贝符反白带圆圈数字一,范围数字一到十
\u2780,➀,丁贝符带圆圈无衬线数字一,范围数字一到十
\u278A,➊,丁贝符反白带圆圈无衬线数字一,范围数字一到十
\u3248,㉈,实心方形上带圆圈的十,范围数字十至八十每间隔十
\u3251,㉑,带圆圈数字二十一,范围数字二十一到三十五
\u32B1,㊱,带圆圈数字三十六,范围数字二十一到五十
\uFF11,１,全形数字一,范围数字零到九
---,---,---,---
\u3007,〇,象形字数字零,范围仅数字零
\u3021,〡,苏州码子一,范围数字一到九
\u3038,〸,苏州码子十,数字十及二十及三十
\u3220,㈠,带圆括号象形字一,范围数字一到十
\u322A,㈪,带圆括号象形字月形文,范围曜日之月火水木金土日
\u3280,㊀,带圆圈象形字一,范围数字一到十
\u32C0,㋀,象形字电报符号一月,范围月份一到十二
\u32A4,㊤,带圆圈象形字上,范围方位上中下左右
\u3359,㍙,象形字电报符号一点,范围小时零到九
\u33E0,㏠,象形字电报符号一日,范围日期一到三十一